,created_at,id_str,conversation_id_str,full_text,twitter_lang,favorited,retweeted,retweet_count,favorite_count,reply_count,quote_count,quoted_status_id_str,quoted_status_short_url,quoted_status_expand_url,user_id_str,user_name,user_full_name,user_verified,in_reply_to_status_id_str,in_reply_to_user_id_str,hashtags,mentions,urls,media,preprocessed_created_at,preprocessed_data,emoji_list,emoticons_list,filename,preprocessed_data_without_hashtags,data_source,lang,score,langTb,lang_langdetect
3900,2021-05-09T23:57:23+00:00,1.39154e+18,1.39154e+18,"#SOSColombiaDDHH possible infiltrated police generating violence in Colombian demonstrations
#SOSColombia #Colombia https://t.co/C5l6GkE74r",en,False,False,0.0,0.0,0.0,0.0,,,,1.09501e+18,anon_candanga,www.anoncandanga.com🚨💣,False,,,"#SOSColombiaDDHH , #SOSColombia , #Colombia",,,"[{""url"": ""https://pbs.twimg.com/ext_tw_video_thumb/1391542706636304386/pu/img/y6JmjJdVQ0bY2CUR.jpg"", ""type"": ""photo""}]",2021-05-09,"['soscolombiaddhh', 'possible', 'infiltrate', 'police', 'generate', 'violence', 'colombian', 'demonstration', 'soscolombia', 'colombia']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['possible', 'infiltrate', 'police', 'generate', 'violence', 'colombian', 'demonstration']",Twitter,en,,,
3910,2021-05-09T23:30:25+00:00,1.39154e+18,1.39154e+18,"This looks rather intense and concerning
#HappeningInColombia🇨🇴
#ParoNacional 🇨🇴🎳
#SOSColombia🆘
#ColombiaEnAlertaRoja⚠️🚨
#ColombiaResiste💪

@ColombiaCalling 
@colombiareports 
@NicolasLloreda 
@BogotaPost 
@marcel_lebleu 
@Fruizgomez",en,False,False,0.0,0.0,0.0,0.0,1.39e+18,,,450138707.0,heavydmail,Donald McDonald (HeavyD),False,,,"#HappeningInColombia , #ParoNacional , #SOSColombia , #ColombiaEnAlertaRoja , #ColombiaResiste","ColombiaCalling , colombiareports , NicolasLloreda , BogotaPost , marcel_lebleu , Fruizgomez",,[],2021-05-09,"['look', 'rather', 'intense', 'concern', 'happeningincolombia', 'paronacional', 'soscolombia', 'colombiaenalertaroja', 'colombiaresiste']",['🇨🇴'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['look', 'rather', 'intense', 'concern']",Twitter,en,,,
3911,2021-05-09T23:25:32+00:00,1.39153e+18,1.39153e+18,"Difundir
#SOSCALICOLOMBIA
@CNNEE
#ParoNacional9M 
@guardian
@bbcmundo
@hrw_espanol
@ActualidadRTv 
@ONUHumanRights
@TembloresOng 
#ATENCION #ColombiaResiste 
#SOSColombiaNosEstanMatando 
#SOSColombia #cali",en,False,False,0.0,0.0,0.0,0.0,1.39e+18,,,1.38987e+18,LunaCleoR,COLOMBIA RESISTE #SOSCOLOMBIADDHH,False,,,"#SOSCALICOLOMBIA , #ParoNacional9M , #ATENCION , #ColombiaResiste , #SOSColombiaNosEstanMatando , #SOSColombia , #cali","CNNEE , guardian , bbcmundo , hrw_espanol , ActualidadRTv , ONUHumanRights , TembloresOng",,[],2021-05-09,"['difundir', 'soscalicolombia', 'paronacional', 'atencion', 'colombiaresiste', 'soscolombianosestanmatando', 'soscolombia', 'cali']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
3912,2021-05-09T23:23:18+00:00,1.39153e+18,1.39153e+18,"Difundir
#SOSCALICOLOMBIA
@CNNEE
#ParoNacional9M 
@guardian
@bbcmundo
@hrw_espanol
@ActualidadRTv 
@ONUHumanRights
@TembloresOng 
#ATENCION #ColombiaResiste 
#SOSColombiaNosEstanMatando 
#SOSColombia #cali #cucuta",en,False,False,1.0,0.0,1.0,0.0,1.39e+18,,,1.38987e+18,LunaCleoR,COLOMBIA RESISTE #SOSCOLOMBIADDHH,False,,,"#SOSCALICOLOMBIA , #ParoNacional9M , #ATENCION , #ColombiaResiste , #SOSColombiaNosEstanMatando , #SOSColombia , #cali , #cucuta","CNNEE , guardian , bbcmundo , hrw_espanol , ActualidadRTv , ONUHumanRights , TembloresOng",,[],2021-05-09,"['difundir', 'soscalicolombia', 'paronacional', 'atencion', 'colombiaresiste', 'soscolombianosestanmatando', 'soscolombia', 'cali', 'cucuta']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
3919,2021-05-16T21:50:30+00:00,1.39405e+18,1.39405e+18,"HELP! COLOMBIA IS ARRESTING &amp; KILLING THE YOUTH

#SOSColombia #SOSColombiaDDHH #Colombia #HelpColombianPeople #HelpColombia #ResistenciaCivilPacifica #ColombiaGeneralStrike @CIDH @CIJ_ICJ @POTUS @CourPenaleInt @lemondefr @dw_espanol @elpais_inter @alexandraendres @FrauWoj @ARTEfr",en,False,False,1.0,1.0,0.0,0.0,1.39e+18,,,1397251310.0,Emerencia1615,Martha,False,,,"#SOSColombia , #SOSColombiaDDHH , #Colombia , #HelpColombianPeople , #HelpColombia , #ResistenciaCivilPacifica , #ColombiaGeneralStrike","CIDH , CIJ_ICJ , POTUS , CourPenaleInt , lemondefr , dw_espanol , elpais_inter , alexandraendres , FrauWoj , ARTEfr",,[],2021-05-16,"['help', 'colombia', 'arrest', 'amp', 'kill', 'youth', 'soscolombia', 'soscolombiaddhh', 'colombia', 'helpcolombianpeople', 'helpcolombia', 'resistenciacivilpacifica', 'colombiageneralstrike']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['help', 'colombia', 'arrest', 'amp', 'kill', 'youth']",Twitter,en,,,
3930,2021-05-16T20:36:24+00:00,1.39403e+18,1.39403e+18,"A mother &amp; her daughter say that in an alley in Suba, they were assaulted by a group of armed and armored 🚓👮‍♂️ who, without saying a word, shot them. They have received threats asking them to 🤫
#HappeningInColombia🇨🇴
#ParoNacional 🇨🇴🎳
#SOSColombia🆘
#ColombiaResiste💪",en,False,False,0.0,0.0,0.0,0.0,1.39e+18,,,450138707.0,heavydmail,Donald McDonald (HeavyD),False,,,"#HappeningInColombia , #ParoNacional , #SOSColombia , #ColombiaResiste",,,[],2021-05-16,"['mother', 'amp', 'daughter', 'say', 'alley', 'suba', 'assault', 'group', 'arm', 'armored', 'without', 'say', 'word', 'shot', 'receive', 'threat', 'ask', 'happeningincolombia', 'paronacional', 'soscolombia', 'colombiaresiste']",['🚓👮'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['mother', 'amp', 'daughter', 'say', 'alley', 'suba', 'assault', 'group', 'arm', 'armored', 'without', 'say', 'word', 'shot', 'receive', 'threat', 'ask']",Twitter,en,,,
3939,2021-05-30T21:09:10+00:00,1.39911e+18,1.39911e+18,"@CanadaColombia @CanadaFP @cafreeland @MarcGarneau @JustinTrudeau 

The situation of Human Rights in Colombia is dire.

#SOSColombiaNosEstanMatando 
#SOSColombiaDDHH 
#SosColombia

Please RT
@elonmusk @IOHK_Charles",en,False,False,0.0,0.0,0.0,0.0,1.4e+18,,,425138724.0,SaturnRetro1111,I AM 🇨🇴🇨🇦,False,,2480088517.0,"#SOSColombiaNosEstanMatando , #SOSColombiaDDHH , #SosColombia","CanadaColombia , CanadaFP , cafreeland , MarcGarneau , JustinTrudeau , elonmusk , IOHK_Charles",,[],2021-05-30,"['situation', 'human', 'right', 'colombia', 'dire', 'soscolombianosestanmatando', 'soscolombiaddhh', 'soscolombia', 'please']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['situation', 'human', 'right', 'colombia', 'dire', 'please']",Twitter,en,,,
3946,2021-05-30T19:08:05+00:00,1.39908e+18,1.39908e+18,"A month of massacres, a month of missing protestors, a month of eye mutilations and rapes by the colombian police following the orders of Ivan Duke aka #SeñorMatanza
#SOSColombiaDDHH
#Colombia
#SOSColombia
#ColombiaEnAlertaRoja
#colombiaresisteunida
#ColombiaSOS https://t.co/wrscixoJH6",en,False,False,5.0,6.0,0.0,0.0,,,,524241076.0,Vote2saveUSA,TheFilibusterHasToGO,False,,,"#SeñorMatanza , #SOSColombiaDDHH , #Colombia , #SOSColombia , #ColombiaEnAlertaRoja , #colombiaresisteunida , #ColombiaSOS",,,"[{""url"": ""https://pbs.twimg.com/media/E2qIBIDXMAMEyoi.jpg"", ""type"": ""photo""}]",2021-05-30,"['month', 'massacre', 'month', 'miss', 'protestors', 'month', 'eye', 'mutilation', 'rape', 'colombian', 'police', 'follow', 'order', 'ivan', 'duke', 'aka', 'señormatanza', 'soscolombiaddhh', 'colombia', 'soscolombia', 'colombiaenalertaroja', 'colombiaresisteunida', 'colombiasos']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['month', 'massacre', 'month', 'miss', 'protestors', 'month', 'eye', 'mutilation', 'rape', 'colombian', 'police', 'follow', 'order', 'ivan', 'duke', 'aka']",Twitter,en,,,
3951,2021-06-13T22:06:53+00:00,1.4042e+18,1.4042e+18,"It doesn't matter how you are doing it, just continue supporting the strike.
United we can change Colombia!🇨🇴✊
#colombiaresisteunida
#SOSColombiaNosEstanMatando
#ColombiaSOS
#ColombiaAlertaRoja
#SOSColombiaDDHH
#SOSColombia
#BreakingNews
#ColombiaEnAlertaRoja
#Colombia",en,False,False,2.0,0.0,0.0,0.0,1.4e+18,,,1.39427e+18,GrupoCol4Col,COLOMBIANS ABROAD FOR COLOMBIA NGO,False,,,"#colombiaresisteunida , #SOSColombiaNosEstanMatando , #ColombiaSOS , #ColombiaAlertaRoja , #SOSColombiaDDHH , #SOSColombia , #BreakingNews , #ColombiaEnAlertaRoja , #Colombia",,,[],2021-06-13,"['matter', 'continue', 'support', 'strike', 'united', 'change', 'colombia', 'colombiaresisteunida', 'soscolombianosestanmatando', 'colombiasos', 'colombiaalertaroja', 'soscolombiaddhh', 'soscolombia', 'breakingnews', 'colombiaenalertaroja', 'colombia']",['🇨🇴✊'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['matter', 'continue', 'support', 'strike', 'united', 'change', 'colombia']",Twitter,en,,,
3952,2021-06-13T22:05:32+00:00,1.4042e+18,1.4042e+18,A gorgeous monument to celebrate popular resistance is going up in Cali 💜 #SOSColombia #ParoNacional,en,False,False,0.0,3.0,0.0,1.0,1.4e+18,,,2613697632.0,paola_please,Paola Castañeda,False,,,"#SOSColombia , #ParoNacional",,,[],2021-06-13,"['gorgeous', 'monument', 'celebrate', 'popular', 'resistance', 'go', 'cali', 'soscolombia', 'paronacional']",['💜'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['gorgeous', 'monument', 'celebrate', 'popular', 'resistance', 'go', 'cali']",Twitter,en,,,
3953,2021-06-13T20:59:58+00:00,1.40418e+18,1.40418e+18,@SecBlinken @jdickerson 🔴Allies &amp; partners like the #Colombia president #IvanDuque? 👁👇🏽#SOSColombiaDDHH #SOSColombia #ParoNacional13J #ParoNacional #FalsosPositivos #NosEstanMantando https://t.co/uWmgQdThCK,en,False,False,0.0,0.0,0.0,0.0,,,,1.39838e+18,L1LTLT,L1LTLT,False,1.4e+18,1.35e+18,"#Colombia , #IvanDuque , #SOSColombiaDDHH , #SOSColombia , #ParoNacional13J , #ParoNacional , #FalsosPositivos , #NosEstanMantando","SecBlinken , jdickerson",https://t.co/uWmgQdThCK,[],2021-06-13,"['ally', 'amp', 'partner', 'like', 'colombia', 'president', 'ivanduque', 'soscolombiaddhh', 'soscolombia', 'paronacional', 'j', 'paronacional', 'falsospositivos', 'nosestanmantando']",['🔴'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['ally', 'amp', 'partner', 'like', 'president']",Twitter,en,,,
3955,2021-06-13T18:59:27+00:00,1.40415e+18,1.40415e+18,"Seems like human rights don't exist in Colombia🇨🇴
#colombiaresisteunida
#SOSColombiaNosEstanMatando
#ColombiaSOS
#ColombiaAlertaRoja
#ColombiansAreDying
#SOSColombiaDDHH
#SOSColombia
#BreakingNews
#SOSColombiaEnDictadura
#ColombiaEnAlertaRoja
#Colombia",en,False,False,2.0,1.0,0.0,0.0,1.4e+18,,,1.39427e+18,GrupoCol4Col,COLOMBIANS ABROAD FOR COLOMBIA NGO,False,,,"#colombiaresisteunida , #SOSColombiaNosEstanMatando , #ColombiaSOS , #ColombiaAlertaRoja , #ColombiansAreDying , #SOSColombiaDDHH , #SOSColombia , #BreakingNews , #SOSColombiaEnDictadura , #ColombiaEnAlertaRoja , #Colombia",,,[],2021-06-13,"['seem', 'like', 'human', 'right', 'exist', 'colombia', 'colombiaresisteunida', 'soscolombianosestanmatando', 'colombiasos', 'colombiaalertaroja', 'colombiansaredying', 'soscolombiaddhh', 'soscolombia', 'breakingnews', 'soscolombiaendictadura', 'colombiaenalertaroja', 'colombia']",['🇨🇴'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['seem', 'like', 'human', 'right', 'exist', 'colombia']",Twitter,en,,,
3958,2021-06-13T16:16:39+00:00,1.40411e+18,1.40411e+18,"🔴🎥A #Colombia Embera Katio #Indigenous woman cries, screams when taken forcefully by #police #SOSColombia #ParoNacional @CIDH @totonia68 @TaniaReneaum @StuardoRalon @JoelHernandezG @colombia_uk @JFColombia @JMVivancoHRW @CorteIDH  @IACourtHR @Betocoralg @guardian @BBC @nytimes",en,False,False,0.0,0.0,0.0,0.0,1.4e+18,,,1.39838e+18,L1LTLT,L1LTLT,False,,,"#Colombia , #Indigenous , #police , #SOSColombia , #ParoNacional","CIDH , totonia68 , TaniaReneaum , StuardoRalon , JoelHernandezG , colombia_uk , JFColombia , JMVivancoHRW , CorteIDH , IACourtHR , Betocoralg , guardian , BBC , nytimes",,[],2021-06-13,"['colombia', 'embera', 'katio', 'indigenous', 'woman', 'cry', 'scream', 'take', 'forcefully', 'police', 'soscolombia', 'paronacional']",['🔴🎥'],[],oscolombia_ENGLISH_tweets_stweet.csv,"['embera', 'katio', 'woman', 'cry', 'scream', 'take', 'forcefully']",Twitter,en,,,
3961,2021-06-13T12:18:35+00:00,1.40405e+18,1.40405e+18,"🆘⚠️ DIFUNDIR ⚠️🆘 

@MisionONUCol @ONUHumanRights
@ONU_derechos  @JoeBiden @VP @RepMcGovern @nytimes
@guardian @Pontifex_es @baltasargarzon @France24_es #CensuraColombia
#SOSColombiaDDHH #SOSColombiaNosEstanMatando 
#ColombiaAlertaRoja
#SOSPereira 
#SOSColombia 
#SOSCaliDDH",en,False,False,0.0,0.0,0.0,0.0,1.4e+18,,,1.0631e+18,JUPABLO33,JUAN,False,,,"#CensuraColombia , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando , #ColombiaAlertaRoja , #SOSPereira , #SOSColombia , #SOSCaliDDH","MisionONUCol , ONUHumanRights , ONU_derechos , JoeBiden , VP , RepMcGovern , nytimes , guardian , Pontifex_es , baltasargarzon , France24_es",,[],2021-06-13,"['difundir', 'censuracolombia', 'soscolombiaddhh', 'soscolombianosestanmatando', 'colombiaalertaroja', 'sospereira', 'soscolombia', 'soscaliddh']",['🆘⚠️'],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
3963,2021-06-13T09:00:21+00:00,1.404e+18,1.404e+18,"Why is #Colombia rising up? Check out this documentation: https://t.co/LPSAKqWyH8

#SOSColombia #ParoNacional #SOSColombiaDDHH",en,False,False,0.0,1.0,0.0,0.0,,,,150992719.0,tdh_de,terre des hommes,True,,,"#Colombia , #SOSColombia , #ParoNacional , #SOSColombiaDDHH",,https://t.co/LPSAKqWyH8,[],2021-06-13,"['colombia', 'rise', 'check', 'documentation', 'soscolombia', 'paronacional', 'soscolombiaddhh']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['rise', 'check', 'documentation']",Twitter,en,,,
3967,2021-06-13T04:01:52+00:00,1.40393e+18,1.40393e+18,"#SosColombia #Canada4Colombia #soscolombiaddhh #ottawa #ottawalife #canada #June22 Join us in the National Day of Action in Canada for Colombia @ Ottawa, Ontario https://t.co/OU6ZTJbPUM",en,False,False,1.0,2.0,0.0,0.0,,,,126964545.0,alelip92,Paola Jaimes Santamaría,False,,,"#SosColombia , #Canada4Colombia , #soscolombiaddhh , #ottawa , #ottawalife , #canada , #June22",,https://t.co/OU6ZTJbPUM,[],2021-06-13,"['soscolombia', 'canada', 'colombia', 'soscolombiaddhh', 'ottawa', 'ottawalife', 'canada', 'june', 'join', 'u', 'national', 'day', 'action', 'canada', 'colombia', 'ottawa', 'ontario']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['join', 'u', 'national', 'day', 'action', 'canada', 'colombia', 'ottawa', 'ontario']",Twitter,en,,,
3976,2021-06-12T17:12:28+00:00,1.40376e+18,1.40352e+18,"@Slapout4 In Colombia they are, they didn't have any other option.
#colombiaresisteunida
#SOSColombiaNosEstanMatando
#ColombiaSOS
#ColombiaAlertaRoja
#ColombiansAreDying
#SOSColombiaDDHH
#SOSColombia
#BreakingNews
#SOSColombiaEnDictadura
#ColombiaEnAlertaRoja
#Colombia https://t.co/GnDwHtPWYH",en,False,False,2.0,1.0,0.0,0.0,,,,524241076.0,Vote2saveUSA,TheFilibusterHasToGO,False,1.4e+18,1.27e+18,"#colombiaresisteunida , #SOSColombiaNosEstanMatando , #ColombiaSOS , #ColombiaAlertaRoja , #ColombiansAreDying , #SOSColombiaDDHH , #SOSColombia , #BreakingNews , #SOSColombiaEnDictadura , #ColombiaEnAlertaRoja , #Colombia",Slapout4,,"[{""url"": ""https://pbs.twimg.com/media/E3sqOVWXIAAgSVJ.jpg"", ""type"": ""photo""}]",2021-06-12,"['colombia', 'option', 'colombiaresisteunida', 'soscolombianosestanmatando', 'colombiasos', 'colombiaalertaroja', 'colombiansaredying', 'soscolombiaddhh', 'soscolombia', 'breakingnews', 'soscolombiaendictadura', 'colombiaenalertaroja', 'colombia']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'option']",Twitter,en,,,
3977,2021-06-12T17:09:12+00:00,1.40376e+18,1.40376e+18,"🆘⚠️ DIFUNDIR ⚠️🆘 

@MisionONUCol @ONUHumanRights
@ONU_derechos  @JoeBiden @VP @RepMcGovern @nytimes
@guardian @Pontifex_es @baltasargarzon @France24_es #CensuraColombia
#SOSColombiaDDHH #SOSColombiaNosEstanMatando 
#ColombiaAlertaRoja
#SOSPereira 
#SOSColombia 
#SOSCaliDDH",en,False,False,0.0,0.0,0.0,0.0,1.4e+18,,,1.0631e+18,JUPABLO33,JUAN,False,,,"#CensuraColombia , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando , #ColombiaAlertaRoja , #SOSPereira , #SOSColombia , #SOSCaliDDH","MisionONUCol , ONUHumanRights , ONU_derechos , JoeBiden , VP , RepMcGovern , nytimes , guardian , Pontifex_es , baltasargarzon , France24_es",,[],2021-06-12,"['difundir', 'censuracolombia', 'soscolombiaddhh', 'soscolombianosestanmatando', 'colombiaalertaroja', 'sospereira', 'soscolombia', 'soscaliddh']",['🆘⚠️'],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
3980,2021-06-12T16:15:44+00:00,1.40375e+18,1.40375e+18,"Favor RT 🆘
#SOSColombia
#ColombiaEnDictadura #DondeEstanLosDesaparecidos
@CourPenaleInt @CIDH @ActualidadRT @ElHuffPost @guardian  @bbcmundo @nytimes @Reuters @ActualidadRT @teleSURtv
#SOSColombiaDDHH 
#EstamosEnNarcoDictadura
#NosEstanMasacrando 
#NosEstanMatando #SOSColombia",in,False,False,0.0,0.0,0.0,0.0,1.4e+18,,,1.24149e+18,LuzInferna,LuCiFeRa,False,,,"#SOSColombia , #ColombiaEnDictadura , #DondeEstanLosDesaparecidos , #SOSColombiaDDHH , #EstamosEnNarcoDictadura , #NosEstanMasacrando , #NosEstanMatando , #SOSColombia","CourPenaleInt , CIDH , ActualidadRT , ElHuffPost , guardian , bbcmundo , nytimes , Reuters , ActualidadRT , teleSURtv",,[],2021-06-12,"['favor', 'soscolombia', 'colombiaendictadura', 'dondeestanlosdesaparecidos', 'soscolombiaddhh', 'estamosennarcodictadura', 'nosestanmasacrando', 'nosestanmatando', 'soscolombia']",['🆘'],[],oscolombia_ENGLISH_tweets_stweet.csv,['favor'],Twitter,en,,,
3985,2021-06-11T19:58:37+00:00,1.40344e+18,1.40341e+18,"@BBCWorld In Colombia, the government kills political opposition and minorities, and nothing happens, the internacional community is silent and complicit
#ColombianGenocide #CapitalistRegime #SOSColombia #NosEstanMatando #NosEstanMasacrando  #QuienDioLaOrden  #QuePareElGenocidio",en,False,False,0.0,1.0,0.0,0.0,,,,9.39531e+17,latinapuntocom,Yira Aristizábal,False,1.4e+18,742143.0,"#ColombianGenocide , #CapitalistRegime , #SOSColombia , #NosEstanMatando , #NosEstanMasacrando , #QuienDioLaOrden , #QuePareElGenocidio",BBCWorld,,[],2021-06-11,"['colombia', 'government', 'kill', 'political', 'opposition', 'minority', 'nothing', 'happens', 'internacional', 'community', 'silent', 'complicit', 'colombiangenocide', 'capitalistregime', 'soscolombia', 'nosestanmatando', 'nosestanmasacrando', 'quiendiolaorden', 'quepareelgenocidio']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['colombia', 'government', 'kill', 'political', 'opposition', 'minority', 'nothing', 'happens', 'internacional', 'community', 'silent', 'complicit']",Twitter,en,,,
3986,2021-06-11T19:53:29+00:00,1.40344e+18,1.40341e+18,@bbcworldservice @LucreciaDalt Does it hide the #ColombianGenocide ? #CapitalistRegime #SOSColombia #NosEstanMatando #NosEstanMasacrando #SOSColombiaDDHH #ColombianLivesMatter #DuquePareElExterminio #SOScauca #SOSChocó #QuienDioLaOrden #SOSNariño #SOSBuenaventura #QuePareElGenocidio,en,False,False,0.0,0.0,0.0,0.0,,,,9.39531e+17,latinapuntocom,Yira Aristizábal,False,1.4e+18,786764.0,"#ColombianGenocide , #CapitalistRegime , #SOSColombia , #NosEstanMatando , #NosEstanMasacrando , #SOSColombiaDDHH , #ColombianLivesMatter , #DuquePareElExterminio , #SOScauca , #SOSChocó , #QuienDioLaOrden , #SOSNariño , #SOSBuenaventura , #QuePareElGenocidio","bbcworldservice , LucreciaDalt",,[],2021-06-11,"['hide', 'colombiangenocide', 'capitalistregime', 'soscolombia', 'nosestanmatando', 'nosestanmasacrando', 'soscolombiaddhh', 'colombianlivesmatter', 'duquepareelexterminio', 'soscauca', 'soschocó', 'quiendiolaorden', 'sosnariño', 'sosbuenaventura', 'quepareelgenocidio']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,['hide'],Twitter,en,,,
3991,2021-06-20T21:45:31+00:00,1.40673e+18,1.40673e+18,"🆘⚠️ DIFUNDIR ⚠️🆘 

@MisionONUCol @ONUHumanRights
@ONU_derechos  @JoeBiden @VP @RepMcGovern @nytimes
@guardian @Pontifex_es @baltasargarzon @France24_es #CensuraColombia
#SOSColombiaDDHH #SOSColombiaNosEstanMatando 
#ColombiaAlertaRoja
#SOSPereira 
#SOSColombia 
#SOSCaliDDH",en,False,False,0.0,0.0,0.0,0.0,1.41e+18,,,1.0631e+18,JUPABLO33,JUAN,False,,,"#CensuraColombia , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando , #ColombiaAlertaRoja , #SOSPereira , #SOSColombia , #SOSCaliDDH","MisionONUCol , ONUHumanRights , ONU_derechos , JoeBiden , VP , RepMcGovern , nytimes , guardian , Pontifex_es , baltasargarzon , France24_es",,[],2021-06-20,"['difundir', 'censuracolombia', 'soscolombiaddhh', 'soscolombianosestanmatando', 'colombiaalertaroja', 'sospereira', 'soscolombia', 'soscaliddh']",['🆘⚠️'],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
3992,2021-06-20T21:45:23+00:00,1.40673e+18,1.40673e+18,"A boy and his mother have been killed by the police. The police are acting with total impunity 
Killing of colombians must stop!!!!!
#SOSColombia 
#SOSColombiaDDHH 
#SOSColombiaNosEstanMatando",en,False,False,3.0,2.0,0.0,1.0,1.41e+18,,,301096788.0,takethesquare,Take the square,False,,,"#SOSColombia , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando",,,[],2021-06-20,"['boy', 'mother', 'kill', 'police', 'police', 'act', 'total', 'impunity', 'kill', 'colombian', 'must', 'stop', 'soscolombia', 'soscolombiaddhh', 'soscolombianosestanmatando']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['boy', 'mother', 'kill', 'police', 'police', 'act', 'total', 'impunity', 'kill', 'colombian', 'must', 'stop']",Twitter,en,,,
3996,2021-06-20T17:00:18+00:00,1.40666e+18,1.40666e+18,#Soscolombia keep your eyes on this! An European community ready to listen and receive your reports of injuries or murder since the #Paronacional in #Colombia! @canal2co announced this few days ago! https://t.co/V9fGYe83iY,en,False,False,0.0,0.0,0.0,0.0,,,,1.39108e+18,JbYulieth,Juliette,False,,,"#Soscolombia , #Paronacional , #Colombia",canal2co,,"[{""url"": ""https://pbs.twimg.com/media/E4VzvbVWUAgi481.jpg"", ""type"": ""photo""}]",2021-06-20,"['soscolombia', 'keep', 'eye', 'european', 'community', 'ready', 'listen', 'receive', 'report', 'injury', 'murder', 'since', 'paronacional', 'colombia', 'announce', 'day', 'ago']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['keep', 'eye', 'european', 'community', 'ready', 'listen', 'receive', 'report', 'injury', 'murder', 'since', 'announce', 'day', 'ago']",Twitter,en,,,
4003,2021-06-20T12:42:36+00:00,1.40659e+18,1.40659e+18,"Donations marathon to support #YoSoy1raLinea at national level. 
#SOSColombia 
#ParoNacional 
#SOSColombiaDDHH 
#SOSColombiaNosEstanMatando 
#ElParoNoPara 
#JusticiaSocial 
#PorLaPazEnColombia",en,False,False,1.0,0.0,0.0,0.0,1.41e+18,,,301096788.0,takethesquare,Take the square,False,,,"#YoSoy1raLinea , #SOSColombia , #ParoNacional , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando , #ElParoNoPara , #JusticiaSocial , #PorLaPazEnColombia",,,[],2021-06-20,"['donation', 'marathon', 'suppo', 'yosoy', 'ralinea', 'national', 'level', 'soscolombia', 'paronacional', 'soscolombiaddhh', 'soscolombianosestanmatando', 'elparonopara', 'justiciasocial', 'porlapazencolombia']",[],[],oscolombia_ENGLISH_tweets_stweet.csv,"['donation', 'marathon', 'suppo', 'national', 'level']",Twitter,en,,,
4013,2021-07-02T18:40:10+00:00,1.41103e+18,1.41103e+18,"🆘⚠️ DIFUNDIR ⚠️🆘 

@MisionONUCol @ONUHumanRights
@ONU_derechos  @JoeBiden @VP @RepMcGovern @nytimes
@guardian @Pontifex_es @baltasargarzon @France24_es #CensuraColombia
#SOSColombiaDDHH #SOSColombiaNosEstanMatando 
#ColombiaAlertaRoja
#SOSPereira 
#SOSColombia 
#SOSCaliDDH",en,False,False,1.0,0.0,0.0,0.0,1.41e+18,,,1.33216e+18,Juanetes33,Juan,False,,,"#CensuraColombia , #SOSColombiaDDHH , #SOSColombiaNosEstanMatando , #ColombiaAlertaRoja , #SOSPereira , #SOSColombia , #SOSCaliDDH","MisionONUCol , ONUHumanRights , ONU_derechos , JoeBiden , VP , RepMcGovern , nytimes , guardian , Pontifex_es , baltasargarzon , France24_es",,[],2021-07-02,"['difundir', 'censuracolombia', 'soscolombiaddhh', 'soscolombianosestanmatando', 'colombiaalertaroja', 'sospereira', 'soscolombia', 'soscaliddh']",['🆘⚠️'],[],oscolombia_ENGLISH_tweets_stweet.csv,['difundir'],Twitter,en,,,
